TransactionNo,Items,DateTime,Daypart,DayType
1,Wonder Bread,2016-10-30 09:58:11,Morning,Weekend
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
2,Scandinavian,2016-10-30 10:05:34,Morning,Weekend
3,Hot chocolate,2016-10-30 10:07:57,Morning,Weekend
3,Smucker's Jam,2016-10-30 10:07:57,Morning,Weekend
3,Chip's Ahoy Chocolate Chip Cookies,2016-10-30 10:07:57,Morning,Weekend
4,Hostess Muffin,2016-10-30 10:08:41,Morning,Weekend
5,Starbucks Dark Roast Coffee Beans,2016-10-30 10:13:03,Morning,Weekend
5,Baker's Treat Danish Pastry,2016-10-30 10:13:03,Morning,Weekend
5,Wonder Bread,2016-10-30 10:13:03,Morning,Weekend
6,Medialunas Argentinian Croissant,2016-10-30 10:16:55,Morning,Weekend
6,Baker's Treat Danish Pastry,2016-10-30 10:16:55,Morning,Weekend
6,Hostess Muffin,2016-10-30 10:16:55,Morning,Weekend
7,Medialunas Argentinian Croissant,2016-10-30 10:19:12,Morning,Weekend
7,Baker's Treat Danish Pastry,2016-10-30 10:19:12,Morning,Weekend
7,Starbucks Dark Roast Coffee Beans,2016-10-30 10:19:12,Morning,Weekend
7,Lipton Ice Tea,2016-10-30 10:19:12,Morning,Weekend
8,Baker's Treat Danish Pastry,2016-10-30 10:20:51,Morning,Weekend
8,Wonder Bread,2016-10-30 10:20:51,Morning,Weekend
9,Wonder Bread,2016-10-30 10:21:59,Morning,Weekend
9,Hostess Muffin,2016-10-30 10:21:59,Morning,Weekend
10,Scandinavian,2016-10-30 10:25:58,Morning,Weekend
10,Medialunas Argentinian Croissant,2016-10-30 10:25:58,Morning,Weekend
11,Wonder Bread,2016-10-30 10:27:21,Morning,Weekend
11,Medialunas Argentinian Croissant,2016-10-30 10:27:21,Morning,Weekend
11,Wonder Bread,2016-10-30 10:27:21,Morning,Weekend
12,Smucker's Jam,2016-10-30 10:30:14,Morning,Weekend
12,Starbucks Dark Roast Coffee Beans,2016-10-30 10:30:14,Morning,Weekend
12,Tartine,2016-10-30 10:30:14,Morning,Weekend
12,Baker's Treat Danish Pastry,2016-10-30 10:30:14,Morning,Weekend
12,Lipton Ice Tea,2016-10-30 10:30:14,Morning,Weekend
13,Basket,2016-10-30 10:31:24,Morning,Weekend
13,Wonder Bread,2016-10-30 10:31:24,Morning,Weekend
13,Starbucks Dark Roast Coffee Beans,2016-10-30 10:31:24,Morning,Weekend
14,Wonder Bread,2016-10-30 10:32:46,Morning,Weekend
14,Medialunas Argentinian Croissant,2016-10-30 10:32:46,Morning,Weekend
14,Baker's Treat Danish Pastry,2016-10-30 10:32:46,Morning,Weekend
15,Mineral water,2016-10-30 10:34:36,Morning,Weekend
15,Scandinavian,2016-10-30 10:34:36,Morning,Weekend
16,Wonder Bread,2016-10-30 10:37:08,Morning,Weekend
16,Medialunas Argentinian Croissant,2016-10-30 10:37:08,Morning,Weekend
16,Starbucks Dark Roast Coffee Beans,2016-10-30 10:37:08,Morning,Weekend
17,Hot chocolate,2016-10-30 10:38:04,Morning,Weekend
18,Farm House,2016-10-30 10:41:56,Morning,Weekend
19,Farm House,2016-10-30 10:43:08,Morning,Weekend
19,Wonder Bread,2016-10-30 10:43:08,Morning,Weekend
20,Wonder Bread,2016-10-30 10:45:22,Morning,Weekend
20,Medialunas Argentinian Croissant,2016-10-30 10:45:22,Morning,Weekend
21,Starbucks Dark Roast Coffee Beans,2016-10-30 10:49:29,Morning,Weekend
21,Starbucks Dark Roast Coffee Beans,2016-10-30 10:49:29,Morning,Weekend
21,Medialunas Argentinian Croissant,2016-10-30 10:49:29,Morning,Weekend
21,Wonder Bread,2016-10-30 10:49:29,Morning,Weekend
22,Smucker's Jam,2016-10-30 10:52:15,Morning,Weekend
23,Scandinavian,2016-10-30 10:53:49,Morning,Weekend
23,Hostess Muffin,2016-10-30 10:53:49,Morning,Weekend
24,Wonder Bread,2016-10-30 10:54:33,Morning,Weekend
25,Scandinavian,2016-10-30 10:55:22,Morning,Weekend
26,Fudge,2016-10-30 10:56:08,Morning,Weekend
27,Scandinavian,2016-10-30 11:02:19,Morning,Weekend
28,Starbucks Dark Roast Coffee Beans,2016-10-30 11:03:24,Morning,Weekend
28,Wonder Bread,2016-10-30 11:03:24,Morning,Weekend
29,Wonder Bread,2016-10-30 11:05:30,Morning,Weekend
29,Smucker's Jam,2016-10-30 11:05:30,Morning,Weekend
30,Wonder Bread,2016-10-30 11:07:19,Morning,Weekend
31,Basket,2016-10-30 11:12:56,Morning,Weekend
32,Scandinavian,2016-10-30 11:16:15,Morning,Weekend
32,Hostess Muffin,2016-10-30 11:16:15,Morning,Weekend
33,Starbucks Dark Roast Coffee Beans,2016-10-30 11:22:49,Morning,Weekend
34,Starbucks Dark Roast Coffee Beans,2016-10-30 11:25:45,Morning,Weekend
34,Hostess Muffin,2016-10-30 11:25:45,Morning,Weekend
35,Hostess Muffin,2016-10-30 11:27:34,Morning,Weekend
35,Scandinavian,2016-10-30 11:27:34,Morning,Weekend
36,Lipton Ice Tea,2016-10-30 11:33:08,Morning,Weekend
36,Wonder Bread,2016-10-30 11:33:08,Morning,Weekend
37,Starbucks Dark Roast Coffee Beans,2016-10-30 11:37:10,Morning,Weekend
37,Wonder Bread,2016-10-30 11:37:10,Morning,Weekend
38,Wonder Bread,2016-10-30 11:42:40,Morning,Weekend
38,Lipton Ice Tea,2016-10-30 11:42:40,Morning,Weekend
39,Scandinavian,2016-10-30 11:44:31,Morning,Weekend
40,Tropicana Orange Juice,2016-10-30 11:55:51,Morning,Weekend
40,Tartine,2016-10-30 11:55:51,Morning,Weekend
40,Starbucks Dark Roast Coffee Beans,2016-10-30 11:55:51,Morning,Weekend
40,Hostess Muffin,2016-10-30 11:55:51,Morning,Weekend
41,Scandinavian,2016-10-30 11:57:06,Morning,Weekend
42,Wonder Bread,2016-10-30 11:57:45,Morning,Weekend
42,Lipton Ice Tea,2016-10-30 11:57:45,Morning,Weekend
